REE/Author ,Hask 68/71,Waki 1971,Masu 1973,Naka 1974,Even 1978,Laul 1979,A&E 1982,Boyn 1985,T&M 1985 ,W&K 1988,A&G 1989,A&G x1.36 ,Palm 1988 ,M&S 1995 
,,,,,,,,,,,,,,
Y,1.96,,,,,,1.44,,2.1,1.8,1.56,2.12,1.57,1.57
La,0.332,0.34,0.378,0.329,0.2446,0.34,0.236,0.31,0.367,0.29,0.2347,0.319,0.245,0.237
Ce,0.876,0.91,0.976,0.865,0.6379,0.85,0.616,0.808,0.957,0.763,0.6032,0.82,0.638,0.613
Pr,0.112,0.121,,,0.09637,0.12,0.0929,0.122,0.137,0.117,0.0891,0.121,0.096,0.0928
Nd,0.6,0.64,0.716,0.63,0.4738,0.64,0.457,0.6,0.711,0.572,0.4524,0.615,0.474,0.457
Sm,0.183,0.195,0.23,0.203,0.154,0.195,0.149,0.195,0.231,0.183,0.1471,0.2,0.154,0.148
Eu,0.0685,0.073,0.0866,0.077,0.05802,0.073,0.056,0.0735,0.087,0.069,0.056,0.0761,0.058,0.0563
Gd,0.252,0.26,0.311,0.276,0.2043,0.26,0.197,0.259,0.306,0.249,0.1966,0.267,0.204,0.199
Tb,0.047,0.047,,,0.03745,0.047,0.0355,0.0474,0.058,0.043,0.0363,0.0493,0.037,0.0361
Dy,0.317,0.3,0.39,0.343,0.2541,0.3,0.245,0.322,0.381,0.302,0.2427,0.33,0.254,0.246
Ho,0.07,0.078,,,0.0567,0.078,0.0547,0.0718,0.0851,0.0693,0.0556,0.0755,0.057,0.0546
Er,0.201,0.2,0.255,0.225,0.166,0.2,0.16,0.21,0.249,0.198,0.1589,0.216,0.166,0.16
Tm,0.03,0.032,,,0.02561,0.032,0.0247,0.0324,0.0356,0.03,0.0242,0.0329,0.026,0.0247
Yb,0.207,0.22,0.249,0.22,0.1651,0.22,0.159,0.209,0.248,0.2,0.1625,0.221,0.165,0.161
Lu,0.0325,0.034,0.0387,0.0339,0.02539,0.034,0.0245,0.0322,0.0381,0.03,0.0243,0.033,0.025,0.0246